tiempo,lane_id,vehiculos_en_cola
28.0,42143912#4_0,0
28.0,40668087#1_0,4
28.0,49217102_0,2
29.0,337277951#3_0,0
29.0,337277951#3_1,0
29.0,337277951#1_0,2
29.0,337277951#1_0,2
29.0,337277951#4_0,0
29.0,337277951#4_1,0
29.0,337277951#2_0,0
29.0,337277951#2_1,0
29.0,49217102_0,2
29.0,42143912#5_0,0
29.0,42143912#3_0,0
29.0,42143912#4_0,0
29.0,40668087#1_0,4
29.0,49217102_0,2
30.0,337277951#3_0,0
30.0,337277951#3_1,0
30.0,337277951#1_0,1
30.0,337277951#1_0,1
30.0,337277951#4_0,0
30.0,337277951#4_1,0
30.0,337277951#2_0,0
30.0,337277951#2_1,0
30.0,49217102_0,1
30.0,42143912#5_0,0
30.0,42143912#3_0,0
30.0,42143912#4_0,0
30.0,40668087#1_0,3
30.0,49217102_0,1
31.0,337277951#3_0,0
31.0,337277951#3_1,0
31.0,337277951#1_0,1
31.0,337277951#1_0,1
31.0,337277951#4_0,0
31.0,337277951#4_1,0
31.0,337277951#2_0,0
31.0,337277951#2_1,0
31.0,49217102_0,1
31.0,42143912#5_0,0
31.0,42143912#3_0,0
31.0,42143912#4_0,0
31.0,40668087#1_0,3
31.0,49217102_0,1
32.0,337277951#3_0,1
32.0,337277951#3_1,0
32.0,337277951#1_0,0
32.0,337277951#1_0,0
32.0,337277951#4_0,0
32.0,337277951#4_1,0
32.0,337277951#2_0,0
32.0,337277951#2_1,0
32.0,49217102_0,1
32.0,42143912#5_0,0
32.0,42143912#3_0,0
32.0,42143912#4_0,0
32.0,40668087#1_0,3
32.0,49217102_0,1
33.0,337277951#3_0,1
33.0,337277951#3_1,1
33.0,337277951#1_0,0
33.0,337277951#1_0,0
33.0,337277951#4_0,0
33.0,337277951#4_1,0
33.0,337277951#2_0,0
33.0,337277951#2_1,0
33.0,49217102_0,1
33.0,42143912#5_0,0
33.0,42143912#3_0,0
33.0,42143912#4_0,0
33.0,40668087#1_0,3
33.0,49217102_0,1
34.0,337277951#3_0,2
34.0,337277951#3_1,1
34.0,337277951#1_0,0
34.0,337277951#1_0,0
34.0,337277951#4_0,0
34.0,337277951#4_1,0
34.0,337277951#2_0,0
34.0,337277951#2_1,0
34.0,49217102_0,1
34.0,42143912#5_0,0
34.0,42143912#3_0,0
34.0,42143912#4_0,0
34.0,40668087#1_0,3
34.0,49217102_0,1
35.0,337277951#3_0,2
35.0,337277951#3_1,1
35.0,337277951#1_0,0
35.0,337277951#1_0,0
35.0,337277951#4_0,0
35.0,337277951#4_1,0
35.0,337277951#2_0,0
35.0,337277951#2_1,0
35.0,49217102_0,0
35.0,42143912#5_0,0
35.0,42143912#3_0,0
35.0,42143912#4_0,0
35.0,40668087#1_0,2
35.0,49217102_0,0
36.0,337277951#3_0,2
36.0,337277951#3_1,0
36.0,337277951#1_0,0
36.0,337277951#1_0,0
36.0,337277951#4_0,0
36.0,337277951#4_1,0
36.0,337277951#2_0,0
36.0,337277951#2_1,0
36.0,49217102_0,0
36.0,42143912#5_0,0
36.0,42143912#3_0,0
36.0,42143912#4_0,0
36.0,40668087#1_0,2
36.0,49217102_0,0
37.0,337277951#3_0,2
37.0,337277951#3_1,1
37.0,337277951#1_0,0
37.0,337277951#1_0,0
37.0,337277951#4_0,0
37.0,337277951#4_1,0
37.0,337277951#2_0,0
37.0,337277951#2_1,0
37.0,49217102_0,0
37.0,42143912#5_0,0
37.0,42143912#3_0,0
37.0,42143912#4_0,0
37.0,40668087#1_0,1
37.0,49217102_0,0
38.0,337277951#3_0,1
38.0,337277951#3_1,1
38.0,337277951#1_0,0
