tiempo,semaforo_id,num_vehiculos,fase,duracion_verde
63.0,cluster_12013799525_12013799526_2496228894,2,2,15
63.0,cluster_12013799527_12013799528_2190601967,0,2,15
63.0,cluster_12013799529_12013799530_473195061,2,2,15
64.0,2496228891,0,2,15
64.0,cluster_12013799525_12013799526_2496228894,2,2,15
64.0,cluster_12013799527_12013799528_2190601967,0,2,15
64.0,cluster_12013799529_12013799530_473195061,1,2,15
65.0,2496228891,0,2,15
65.0,cluster_12013799525_12013799526_2496228894,2,2,15
65.0,cluster_12013799527_12013799528_2190601967,0,2,15
65.0,cluster_12013799529_12013799530_473195061,1,2,15
66.0,2496228891,0,2,15
66.0,cluster_12013799525_12013799526_2496228894,2,2,15
66.0,cluster_12013799527_12013799528_2190601967,0,2,15
66.0,cluster_12013799529_12013799530_473195061,0,2,15
67.0,2496228891,0,2,15
67.0,cluster_12013799525_12013799526_2496228894,2,2,15
67.0,cluster_12013799527_12013799528_2190601967,0,2,15
67.0,cluster_12013799529_12013799530_473195061,0,2,15
68.0,2496228891,0,2,15
68.0,cluster_12013799525_12013799526_2496228894,1,2,15
68.0,cluster_12013799527_12013799528_2190601967,0,2,15
68.0,cluster_12013799529_12013799530_473195061,0,2,15
69.0,2496228891,0,2,15
69.0,cluster_12013799525_12013799526_2496228894,1,2,15
69.0,cluster_12013799527_12013799528_2190601967,0,2,15
69.0,cluster_12013799529_12013799530_473195061,0,2,15
70.0,2496228891,0,2,15
70.0,cluster_12013799525_12013799526_2496228894,0,2,15
70.0,cluster_12013799527_12013799528_2190601967,1,2,15
70.0,cluster_12013799529_12013799530_473195061,0,2,15
71.0,2496228891,0,2,15
71.0,cluster_12013799525_12013799526_2496228894,0,2,15
71.0,cluster_12013799527_12013799528_2190601967,1,2,15
71.0,cluster_12013799529_12013799530_473195061,0,2,15
72.0,2496228891,0,2,15
72.0,cluster_12013799525_12013799526_2496228894,0,2,15
72.0,cluster_12013799527_12013799528_2190601967,2,2,15
72.0,cluster_12013799529_12013799530_473195061,0,2,15
73.0,2496228891,0,2,15
73.0,cluster_12013799525_12013799526_2496228894,0,2,15
73.0,cluster_12013799527_12013799528_2190601967,2,2,15
73.0,cluster_12013799529_12013799530_473195061,0,2,15
74.0,2496228891,0,2,15
74.0,cluster_12013799525_12013799526_2496228894,0,2,15
74.0,cluster_12013799527_12013799528_2190601967,2,2,15
74.0,cluster_12013799529_12013799530_473195061,0,2,15
75.0,2496228891,0,2,15
75.0,cluster_12013799525_12013799526_2496228894,0,2,15
75.0,cluster_12013799527_12013799528_2190601967,2,2,15
75.0,cluster_12013799529_12013799530_473195061,0,2,15
76.0,2496228891,0,2,15
76.0,cluster_12013799525_12013799526_2496228894,0,2,15
76.0,cluster_12013799527_12013799528_2190601967,2,2,15
76.0,cluster_12013799529_12013799530_473195061,0,2,15
77.0,2496228891,0,2,15
77.0,cluster_12013799525_12013799526_2496228894,0,2,15
77.0,cluster_12013799527_12013799528_2190601967,2,2,15
77.0,cluster_12013799529_12013799530_473195061,0,2,15
78.0,2496228891,0,2,15
78.0,cluster_12013799525_12013799526_2496228894,0,2,15
78.0,cluster_12013799527_12013799528_2190601967,0,2,15
78.0,cluster_12013799529_12013799530_473195061,0,2,15
79.0,2496228891,0,2,15
79.0,cluster_12013799525_12013799526_2496228894,0,2,15
79.0,cluster_12013799527_12013799528_2190601967,2,2,15
79.0,cluster_12013799529_12013799530_473195061,0,2,15
80.0,2496228891,0,2,15
